image_path,label
AI_MSC_密度照片\train\0-20_\2.tif,0-20
AI_MSC_密度照片\train\0-20_\3.tif,0-20
AI_MSC_密度照片\train\0-20_\4.tif,0-20
AI_MSC_密度照片\train\0-20_\5.tif,0-20
AI_MSC_密度照片\train\0-20_\6.tif,0-20
AI_MSC_密度照片\train\0-20_\7.tif,0-20
AI_MSC_密度照片\train\0-20_\8.tif,0-20
AI_MSC_密度照片\train\0-20_\9.tif,0-20
AI_MSC_密度照片\train\20-40_\1.tif,20-40
AI_MSC_密度照片\train\20-40_\10.tif,20-40
AI_MSC_密度照片\train\20-40_\2.tif,20-40
AI_MSC_密度照片\train\20-40_\3.tif,20-40
AI_MSC_密度照片\train\20-40_\4.tif,20-40
AI_MSC_密度照片\train\20-40_\5.tif,20-40
AI_MSC_密度照片\train\20-40_\7.tif,20-40
AI_MSC_密度照片\train\20-40_\8.tif,20-40
AI_MSC_密度照片\train\40-60_\1.tif,40-60
AI_MSC_密度照片\train\40-60_\3.tif,40-60
AI_MSC_密度照片\train\40-60_\4.tif,40-60
AI_MSC_密度照片\train\40-60_\6.tif,40-60
AI_MSC_密度照片\train\60-80_\2.tif,60-80
AI_MSC_密度照片\train\60-80_\3.tif,60-80
AI_MSC_密度照片\train\60-80_\4.tif,60-80
AI_MSC_密度照片\train\60-80_\6.tif,60-80
AI_MSC_密度照片\train\60-80_\7.tif,60-80
AI_MSC_密度照片\train\60-80_\8.tif,60-80
AI_MSC_密度照片\train\60-80_\9.tif,60-80
AI_MSC_密度照片\train\80-100_\1.tif,80-100
AI_MSC_密度照片\train\80-100_\10.tif,80-100
AI_MSC_密度照片\train\80-100_\2.tif,80-100
AI_MSC_密度照片\train\80-100_\4.tif,80-100
AI_MSC_密度照片\train\80-100_\6.tif,80-100
AI_MSC_密度照片\train\80-100_\7.tif,80-100
AI_MSC_密度照片\train\80-100_\8.tif,80-100
AI_MSC_密度照片\train\80-100_\9.tif,80-100
